q	，
adu	にゃい
agu	にゃい
adm	にゃん
agm	にゃん
adh	にゅ
agh	にゅ
ady	にゅう
agy	にゅう
adn	にゅん
agn	にゅん
adk	にょ
agk	にょ
adi	にょう
agi	にょう
ad,	にょん
ag,	にょん
a.	にん
ah	ぬ
ay	ぬう
an	ぬん
a;	ね
ap	ねい
a/	ねん
ak	の
ai	のう
a,	のん
tj	は
tu	はい
tm	はん
bj	ば
bu	ばい
bm	ばん
zj	ぱ
zu	ぱい
zm	ぱん
tl	ひ
tdl	ひぃ
td.	ひぃん
td;	ひぇ
tdp	ひぇい
td/	ひぇん
tdj	ひゃ
tdu	ひゃい
tdm	ひゃん
tdh	ひゅ
tdy	ひゅう
tdn	ひゅん
tdk	ひょ
tdi	ひょう
td,	ひょん
t.	ひん
bl	び
bdl	びぃ
bd.	びぃん
bd;	びぇ
bdp	びぇい
bd/	びぇん
bdj	びゃ
bdu	びゃい
bdm	びゃん
bdh	びゅ
bdy	びゅう
bdn	びゅん
bdk	びょ
bdi	びょう
bd,	びょん
b.	びん
zl	ぴ
zdl	ぴぃ
zd.	ぴぃん
zd;	ぴぇ
zdp	ぴぇい
zd/	ぴぇん
zdj	ぴゃ
zdu	ぴゃい
zdm	ぴゃん
zdh	ぴゅ
zdy	ぴゅう
zdn	ぴゅん
zdk	ぴょ
zdi	ぴょう
zd,	ぴょん
z.	ぴん
dah	ふ
th	ふ
daj	ふぁ
dau	ふぁい
dam	ふぁん
dal	ふぃ
da.	ふぃん
day	ふう
ty	ふう
da;	ふぇ
dap	ふぇい
da/	ふぇん
dak	ふぉ
dai	ふぉう
da,	ふぉん
dan	ふん
tn	ふん
bh	ぶ
by	ぶう
bn	ぶん
zh	ぷ
zy	ぷう
zn	ぷん
t;	へ
tp	へい
t/	へん
b;	べ
bp	べい
b/	べん
z;	ぺ
zp	ぺい
z/	ぺん
tk	ほ
ti	ほう
t,	ほん
bk	ぼ
bi	ぼう
b,	ぼん
zk	ぽ
zi	ぽう
z,	ぽん
rj	ま
ru	まい
rm	まん
rl	み
rdl	みぃ
rd.	みぃん
rd;	みぇ
rdp	みぇい
rd/	みぇん
rdj	みゃ
rdu	みゃい
rdm	みゃん
rdh	みゅ
rdy	みゅう
rdn	みゅん
rdk	みょ
rdi	みょう
rd,	みょん
r.	みん
rh	む
ry	むう
rn	むん
r;	め
rp	めい
r/	めん
rk	も
ri	もう
r,	もん
dfgj	ゃ
gj	や
gu	やい
gm	やん
dfgh	ゅ
dfgy	ゅう
dfgn	ゅん
gh	ゆ
gy	ゆう
gn	ゆん
dfgk	ょ
dfgi	ょう
dfg,	ょん
gk	よ
gi	よう
g,	よん
ej	ら
eu	らい
em	らん
el	り
egl	りぃ
eg.	りぃん
eg;	りぇ
egj	りゃ
egu	りゃい
egm	りゃん
egh	りゅ
egy	りゅう
egn	りゅん
egk	りょ
egi	りょう
eg,	りょん
e.	りん
eh	る
ey	るう
en	るん
e;	れ
ep	れい
e/	れん
ek	ろ
ei	ろう
e,	ろん
wj	わ
wu	わい
wm	わん
wk	を
wi	をう
w,	をん
d:	ん
dsh	ヴ
dsj	ヴぁ
dsu	ヴぁい
dsm	ヴぁん
dsl	ヴぃ
ds.	ヴぃん
dsy	ヴう
ds;	ヴぇ
dsp	ヴぇい
ds/	ヴぇん
dsk	ヴぉ
dsi	ヴぉう
ds,	ヴぉん
dsn	ヴん
_	・
:	ー
